                                 lz                                 | num_sas | pc_m_00_04 | pc_m_05_09 | pc_m_10_14 | pc_m_15_19 | pc_m_20_24 | pc_m_25_29 | pc_m_30_34 | pc_m_35_39 | pc_m_40_44 | pc_m_45_49 | pc_m_50_54 | pc_m_55_59 | pc_m_60_64 | pc_m_65_69 | pc_m_70_74 | pc_m_75_79 | pc_m_80_84 | pc_m_85+ | pc_f_00_04 | pc_f_05_09 | pc_f_10_14 | pc_f_15_19 | pc_f_20_24 | pc_f_25_29 | pc_f_30_34 | pc_f_35_39 | pc_f_40_44 | pc_f_45_49 | pc_f_50_54 | pc_f_55_59 | pc_f_60_64 | pc_f_65_69 | pc_f_70_74 | pc_f_75_79 | pc_f_80_84 | pc_f_85+ |   pop   
--------------------------------------------------------------------+---------+------------+------------+------------+------------+------------+------------+------------+------------+------------+------------+------------+------------+------------+------------+------------+------------+------------+----------+------------+------------+------------+------------+------------+------------+------------+------------+------------+------------+------------+------------+------------+------------+------------+------------+------------+----------+---------
 59105: Thukela and Lebombo sparsely populated (ZATGL)              |     237 |     0.0773 |     0.0700 |     0.0707 |     0.0645 |     0.0368 |     0.0232 |     0.0168 |     0.0149 |     0.0128 |     0.0117 |     0.0102 |     0.0107 |     0.0091 |     0.0051 |     0.0042 |     0.0019 |     0.0018 |   0.0013 |     0.0759 |     0.0684 |     0.0682 |     0.0666 |     0.0494 |     0.0382 |     0.0282 |     0.0239 |     0.0224 |     0.0223 |     0.0194 |     0.0168 |     0.0163 |     0.0102 |     0.0102 |     0.0069 |     0.0065 |   0.0045 |  151944
 59106: Coastal open access non-crop income (ZACNI)                 |    2096 |     0.0674 |     0.0595 |     0.0612 |     0.0620 |     0.0479 |     0.0368 |     0.0260 |     0.0219 |     0.0164 |     0.0152 |     0.0128 |     0.0116 |     0.0100 |     0.0054 |     0.0039 |     0.0019 |     0.0015 |   0.0012 |     0.0671 |     0.0581 |     0.0578 |     0.0625 |     0.0536 |     0.0448 |     0.0325 |     0.0265 |     0.0232 |     0.0236 |     0.0200 |     0.0170 |     0.0153 |     0.0097 |     0.0090 |     0.0062 |     0.0052 |   0.0037 | 1501812
 59107: Inland open access livestock and other income (ZAOLO)       |     398 |     0.0710 |     0.0650 |     0.0644 |     0.0631 |     0.0440 |     0.0323 |     0.0226 |     0.0199 |     0.0158 |     0.0146 |     0.0124 |     0.0117 |     0.0094 |     0.0055 |     0.0039 |     0.0020 |     0.0014 |   0.0013 |     0.0709 |     0.0635 |     0.0604 |     0.0616 |     0.0499 |     0.0426 |     0.0308 |     0.0251 |     0.0232 |     0.0229 |     0.0195 |     0.0181 |     0.0158 |     0.0100 |     0.0089 |     0.0052 |     0.0050 |   0.0039 |  290283
 59206: Open access low intensity rainfed cultivation (ZALRC)       |     726 |     0.0725 |     0.0642 |     0.0665 |     0.0664 |     0.0457 |     0.0326 |     0.0220 |     0.0178 |     0.0137 |     0.0128 |     0.0124 |     0.0106 |     0.0086 |     0.0052 |     0.0039 |     0.0021 |     0.0016 |   0.0014 |     0.0719 |     0.0635 |     0.0635 |     0.0649 |     0.0541 |     0.0433 |     0.0298 |     0.0237 |     0.0205 |     0.0221 |     0.0192 |     0.0154 |     0.0136 |     0.0086 |     0.0087 |     0.0063 |     0.0053 |   0.0035 |  528798
 59207: Northern inland open access farming and livestock (ZANFL)   |    1038 |     0.0734 |     0.0678 |     0.0673 |     0.0664 |     0.0417 |     0.0294 |     0.0212 |     0.0179 |     0.0134 |     0.0129 |     0.0115 |     0.0112 |     0.0094 |     0.0056 |     0.0040 |     0.0020 |     0.0013 |   0.0012 |     0.0735 |     0.0665 |     0.0632 |     0.0649 |     0.0501 |     0.0399 |     0.0292 |     0.0235 |     0.0208 |     0.0217 |     0.0189 |     0.0180 |     0.0154 |     0.0105 |     0.0094 |     0.0061 |     0.0049 |   0.0037 |  758862
 59208: Ukhahlamba open access intense crops and livestock (ZAKHC)  |     172 |     0.0736 |     0.0649 |     0.0640 |     0.0634 |     0.0422 |     0.0331 |     0.0229 |     0.0195 |     0.0149 |     0.0141 |     0.0122 |     0.0127 |     0.0105 |     0.0054 |     0.0044 |     0.0019 |     0.0014 |   0.0010 |     0.0727 |     0.0640 |     0.0601 |     0.0637 |     0.0490 |     0.0418 |     0.0300 |     0.0242 |     0.0220 |     0.0217 |     0.0195 |     0.0188 |     0.0162 |     0.0100 |     0.0083 |     0.0061 |     0.0049 |   0.0037 |  139596
 59209: Free State open access cattle and crops (ZAOCC)             |      50 |     0.0543 |     0.0574 |     0.0458 |     0.0500 |     0.0455 |     0.0382 |     0.0266 |     0.0220 |     0.0209 |     0.0197 |     0.0230 |     0.0199 |     0.0183 |     0.0145 |     0.0114 |     0.0071 |     0.0031 |   0.0024 |     0.0597 |     0.0519 |     0.0405 |     0.0493 |     0.0427 |     0.0367 |     0.0294 |     0.0239 |     0.0232 |     0.0247 |     0.0244 |     0.0256 |     0.0275 |     0.0190 |     0.0145 |     0.0109 |     0.0071 |   0.0057 |   12654
 59210: Mzimkulu-Mkomazi midlands open access mixed farming (ZAMMO) |     782 |     0.0728 |     0.0647 |     0.0647 |     0.0652 |     0.0428 |     0.0290 |     0.0201 |     0.0181 |     0.0144 |     0.0143 |     0.0129 |     0.0117 |     0.0113 |     0.0064 |     0.0043 |     0.0022 |     0.0016 |   0.0009 |     0.0705 |     0.0640 |     0.0599 |     0.0634 |     0.0480 |     0.0378 |     0.0282 |     0.0244 |     0.0231 |     0.0238 |     0.0209 |     0.0196 |     0.0172 |     0.0126 |     0.0099 |     0.0075 |     0.0056 |   0.0037 |  467526
 59304: North coast open access intense cultivation (ZANCC)         |     597 |     0.0714 |     0.0620 |     0.0622 |     0.0638 |     0.0497 |     0.0374 |     0.0255 |     0.0207 |     0.0149 |     0.0137 |     0.0121 |     0.0103 |     0.0082 |     0.0050 |     0.0043 |     0.0020 |     0.0016 |   0.0012 |     0.0708 |     0.0611 |     0.0593 |     0.0636 |     0.0575 |     0.0472 |     0.0316 |     0.0244 |     0.0205 |     0.0211 |     0.0184 |     0.0145 |     0.0126 |     0.0082 |     0.0080 |     0.0055 |     0.0047 |   0.0033 |  506760
 59305: South coast intensive open access cropping (ZASCO)          |     524 |     0.0667 |     0.0577 |     0.0578 |     0.0610 |     0.0489 |     0.0399 |     0.0285 |     0.0232 |     0.0172 |     0.0162 |     0.0136 |     0.0118 |     0.0104 |     0.0054 |     0.0042 |     0.0021 |     0.0014 |   0.0012 |     0.0653 |     0.0553 |     0.0548 |     0.0608 |     0.0520 |     0.0461 |     0.0336 |     0.0276 |     0.0236 |     0.0245 |     0.0204 |     0.0164 |     0.0153 |     0.0110 |     0.0097 |     0.0065 |     0.0053 |   0.0031 |  429462
 All ten livelihood zones                                           |    6620 |     0.0705 |     0.0628 |     0.0634 |     0.0637 |     0.0457 |     0.0339 |     0.0238 |     0.0200 |     0.0152 |     0.0142 |     0.0125 |     0.0114 |     0.0097 |     0.0055 |     0.0041 |     0.0020 |     0.0015 |   0.0012 |     0.0699 |     0.0615 |     0.0599 |     0.0633 |     0.0523 |     0.0431 |     0.0309 |     0.0251 |     0.0222 |     0.0228 |     0.0197 |     0.0171 |     0.0152 |     0.0100 |     0.0091 |     0.0062 |     0.0052 |   0.0036 | 4787697
(11 rows)

