Village,lz_code,lz_name
Masiwela SP,59105,Thukela and Lebombo sparsely populated
eMombeni SP,59105,Thukela and Lebombo sparsely populated
Gqohi SP,59105,Thukela and Lebombo sparsely populated
Dunudunu SP,59105,Thukela and Lebombo sparsely populated
Ningisa SP,59105,Thukela and Lebombo sparsely populated
Doornkloof SP,59105,Thukela and Lebombo sparsely populated
Tugela Estates,59105,Thukela and Lebombo sparsely populated
uMtshezi NU,59105,Thukela and Lebombo sparsely populated
Ntembeni SP,59105,Thukela and Lebombo sparsely populated
Makhoni SP,59105,Thukela and Lebombo sparsely populated
Abashumi SP,59106,Coastal open access non-crop income
Dabangu SP,59106,Coastal open access non-crop income
Abejuti SP,59106,Coastal open access non-crop income
Bhobhobho SP,59106,Coastal open access non-crop income
Blose SP,59106,Coastal open access non-crop income
Mgolemi SP,59106,Coastal open access non-crop income
Bhidla SP,59106,Coastal open access non-crop income
Gumatane SP,59106,Coastal open access non-crop income
Bhudubhudu SP,59106,Coastal open access non-crop income
Egulube SP,59106,Coastal open access non-crop income
Mbila SP,59106,Coastal open access non-crop income
Zayeka SP,59106,Coastal open access non-crop income
Cedarge SP,59106,Coastal open access non-crop income
Swidi SP,59106,Coastal open access non-crop income
Bhambanani SP,59106,Coastal open access non-crop income
Mphakathini SP,59106,Coastal open access non-crop income
Bangizwe SP,59106,Coastal open access non-crop income
Bulolo SP,59106,Coastal open access non-crop income
Eshane SP,59106,Coastal open access non-crop income
Enhlabosini SP,59106,Coastal open access non-crop income
Bedlane SP,59106,Coastal open access non-crop income
Amatholamgele SP,59106,Coastal open access non-crop income
Esithombeni SP,59106,Coastal open access non-crop income
Mangeze,59106,Coastal open access non-crop income
Berea SP,59106,Coastal open access non-crop income
Esidakeni SP,59106,Coastal open access non-crop income
Njampela A SP,59106,Coastal open access non-crop income
Vezunyawo SP,59106,Coastal open access non-crop income
Annieville SP,59207,Northern inland open access farming and livestock
Emadlangeni NU,59207,Northern inland open access farming and livestock
Cavan SP,59207,Northern inland open access farming and livestock
Ntunjambili SP,59207,Northern inland open access farming and livestock
Bhaza SP,59207,Northern inland open access farming and livestock
Zenzele SP,59207,Northern inland open access farming and livestock
Driefontein SP,59207,Northern inland open access farming and livestock
Mgovu SP,59207,Northern inland open access farming and livestock
Burford SP,59207,Northern inland open access farming and livestock
Dalakosi SP,59207,Northern inland open access farming and livestock
Dinuntuli SP,59207,Northern inland open access farming and livestock
Abaqulusi NU,59207,Northern inland open access farming and livestock
Gunstelling SP,59207,Northern inland open access farming and livestock
Altona SP,59207,Northern inland open access farming and livestock
Mqatsheni SP,59208,Ukhahlamba open access intense crops and livestock
Enguga SP,59208,Ukhahlamba open access intense crops and livestock
Bhekuzulu SP,59208,Ukhahlamba open access intense crops and livestock
Bhalekisi SP,59208,Ukhahlamba open access intense crops and livestock
Amahlongwa,59210,Mzimkulu-Mkomazi midlands open access mixed farming
Bethlehem SP,59210,Mzimkulu-Mkomazi midlands open access mixed farming
Amashaka SP,59210,Mzimkulu-Mkomazi midlands open access mixed farming
Cacadu SP,59210,Mzimkulu-Mkomazi midlands open access mixed farming
KwaMshiwa SP,59210,Mzimkulu-Mkomazi midlands open access mixed farming
Mgolemi SP,59210,Mzimkulu-Mkomazi midlands open access mixed farming
aMahlongwa SP,59210,Mzimkulu-Mkomazi midlands open access mixed farming
Cekeza SP,59210,Mzimkulu-Mkomazi midlands open access mixed farming
Cathula SP,59210,Mzimkulu-Mkomazi midlands open access mixed farming
Amahwaqa SP,59210,Mzimkulu-Mkomazi midlands open access mixed farming
Mbila SP,59210,Mzimkulu-Mkomazi midlands open access mixed farming
Mpofana SP,59210,Mzimkulu-Mkomazi midlands open access mixed farming
Deda SP,59210,Mzimkulu-Mkomazi midlands open access mixed farming
Gunjini SP,59304,North coast open access intense cultivation
Dokodweni SP1,59304,North coast open access intense cultivation
Intaphuka SP,59304,North coast open access intense cultivation
Amatshamnyama SP,59304,North coast open access intense cultivation
DukuDuku SP,59304,North coast open access intense cultivation
Amalala SP,59304,North coast open access intense cultivation
Emaphikaqala SP,59304,North coast open access intense cultivation
Amadaka SP,59304,North coast open access intense cultivation
Amahubhu SP,59304,North coast open access intense cultivation
Bambelentulo SP,59304,North coast open access intense cultivation
Emakhalathini B SP,59304,North coast open access intense cultivation
Emsahweni,59305,South coast intensive open access cropping
