village_name,village_code,main_place_name,main_place_code,municipality_name,municipality_code,municipality_mdb_c,district_name,district_code,district_mdb_c,province_name,province_code,province_mdb_c,lz_code,sa_code,gid,survey
Nomahhala SP,546021001,Nomahhala,546021,Maphumulo,546,KZN294,iLembe,559,DC29,KwaZulu-Natal,5,KZN,59105,5460001,31332,hea
uMtshezi NU,570004001,uMtshezi NU,570004,Umtshezi,570,KZN234,Uthukela,523,DC23,KwaZulu-Natal,5,KZN,59105,5700108,34512,hea
KwaGcwensa SP,546025001,KwaGcwensa,546025,Maphumulo,546,KZN294,iLembe,559,DC29,KwaZulu-Natal,5,KZN,59105,5460005,31338,hea
Dubulwayo SP,583003001,Dubulwayo,583003,Jozini,583,KZN272,Umkhanyakude,527,DC27,KwaZulu-Natal,5,KZN,59105,5830201,31417,hea
Mhloshane SP,542125001,Mhloshane,542125,Nkandla,542,KZN286,Uthungulu,528,DC28,KwaZulu-Natal,5,KZN,59105,5420026,32440,hea
Nhloya SP,575115001,Nhloya,575115,Nqutu,575,KZN242,Umzinyathi,554,DC24,KwaZulu-Natal,5,KZN,59105,5750094,35253,hea
Gxobanyawo SP,576038001,Gxobanyawo,576038,Msinga,576,KZN244,Umzinyathi,554,DC24,KwaZulu-Natal,5,KZN,59105,5760152,35353,hea
Emakhabeleni SP,577005001,Emakhabeleni,577005,Umvoti,577,KZN245,Umzinyathi,554,DC24,KwaZulu-Natal,5,KZN,59105,5770041,35506,hea
KwaDinabanye SP,583032001,KwaDinabanye,583032,Jozini,583,KZN272,Umkhanyakude,527,DC27,KwaZulu-Natal,5,KZN,59105,5830172,36848,hea
eMthonjeni SP,583046001,eMthonjeni,583046,Jozini,583,KZN272,Umkhanyakude,527,DC27,KwaZulu-Natal,5,KZN,59105,5830147,36884,hea
Nkangala SP,583082001,Nkangala,583082,Jozini,583,KZN272,Umkhanyakude,527,DC27,KwaZulu-Natal,5,KZN,59105,5830046,36972,hea
Silambo SP,589113001,Silambo,589113,uMlalazi,589,KZN284,Uthungulu,528,DC28,KwaZulu-Natal,5,KZN,59105,5890119,37987,hea
Ngwavu SP,542077001,Ngwavu,542077,Nkandla,542,KZN286,Uthungulu,528,DC28,KwaZulu-Natal,5,KZN,59106,5420071,32376,hea
KwaMahlungula SP,582006001,KwaMahlungula,582006,Umhlabuyalingana,582,KZN271,Umkhanyakude,527,DC27,KwaZulu-Natal,5,KZN,59106,5820043,36533,hea
KwaChwezi A SP,542004001,KwaChwezi,542004,Nkandla,542,KZN286,Uthungulu,528,DC28,KwaZulu-Natal,5,KZN,59106,5420135,32272,hea
Enyawoshana SP,542132001,Enyawoshana,542132,Nkandla,542,KZN286,Uthungulu,528,DC28,KwaZulu-Natal,5,KZN,59106,5420061,32448,hea
Mkhunya SP,560029001,Mkhunya,560029,Vulamehlo,560,KZN211,Ugu,521,DC21,KwaZulu-Natal,5,KZN,59106,5600076,32661,hea
Mkhize SP,577033001,Mkhize,577033,Umvoti,577,KZN245,Umzinyathi,554,DC24,KwaZulu-Natal,5,KZN,59106,5770094,35611,hea
Mavulusha SP,581103001,Mavulusha,581103,Ulundi,581,KZN266,Zululand,556,DC26,KwaZulu-Natal,5,KZN,59106,5810042,36455,hea
Ntshongwe SP,582081001,Ntshongwe,582081,Umhlabuyalingana,582,KZN271,Umkhanyakude,527,DC27,KwaZulu-Natal,5,KZN,59106,5820081,36724,hea
Kumhlosheni SP,588002001,Kumhlosheni,588002,Ntambanana,588,KZN283,Uthungulu,528,DC28,KwaZulu-Natal,5,KZN,59106,5880004,37528,hea
Abashumi SP,591003001,Abashumi,591003,Mandeni,591,KZN291,iLembe,559,DC29,KwaZulu-Natal,5,KZN,59106,5910160,38091,hea
Hlomantethe SP,593029001,Hlomantethe,593029,Ndwedwe,593,KZN293,iLembe,559,DC29,KwaZulu-Natal,5,KZN,59106,5930167,38746,hea
Nobanga SP,593049001,Nobanga,593049,Ndwedwe,593,KZN293,iLembe,559,DC29,KwaZulu-Natal,5,KZN,59106,5930029,38823,hea
Ezakheni SP,514019001,Ezakheni,514019,Emnambithi/Ladysmith,514,KZN232,Uthukela,523,DC23,KwaZulu-Natal,5,KZN,59107,5140249,30690,hea
Roosboom SP,514024002,Roosboom,514024,Emnambithi/Ladysmith,514,KZN232,Uthukela,523,DC23,KwaZulu-Natal,5,KZN,59107,5140363,30813,hea
KwaNgenetsheni SP1,529011001,KwaNgenetsheni,529011,Abaqulusi,529,KZN263,Zululand,556,DC26,KwaZulu-Natal,5,KZN,59107,5290209,31679,hea
Ngqokweni SP,568010001,Ngqokweni,568010,Richmond,568,KZN227,UMgungundlovu,522,DC22,KwaZulu-Natal,5,KZN,59107,5680027,34297,hea
Mazizini SP,571018001,Mazizini,571018,Okhahlamba,571,KZN235,Uthukela,523,DC23,KwaZulu-Natal,5,KZN,59107,5710057,34669,hea
Amanzana SP,571045001,Amanzana,571045,Okhahlamba,571,KZN235,Uthukela,523,DC23,KwaZulu-Natal,5,KZN,59107,5710103,34735,hea
Good Home SP,573022001,Good Home,573022,Imbabazane,573,KZN236,Uthukela,523,DC23,KwaZulu-Natal,5,KZN,59107,5730075,34864,hea
Ruins SP,573041001,Ruins,573041,Imbabazane,573,KZN236,Uthukela,523,DC23,KwaZulu-Natal,5,KZN,59107,5730010,34920,hea
Mpanza SP,577013001,Mpanza,577013,Umvoti,577,KZN245,Umzinyathi,554,DC24,KwaZulu-Natal,5,KZN,59107,5770097,35517,hea
Tamboekiesdraai SP,578008001,Tamboekiesdraai,578008,eDumbe,578,KZN261,Zululand,556,DC26,KwaZulu-Natal,5,KZN,59107,5780034,35662,hea
Mahloni Sp,578040001,Mahloni,578040,eDumbe,578,KZN261,Zululand,556,DC26,KwaZulu-Natal,5,KZN,59107,5780081,35750,hea
Spekboom SP,579017001,Spekboom,579017,UPhongolo,579,KZN262,Zululand,556,DC26,KwaZulu-Natal,5,KZN,59107,5790041,35865,hea
Swayimana SP,562031001,Swayimana,562031,uMshwathi,562,KZN221,UMgungundlovu,522,DC22,KwaZulu-Natal,5,KZN,59206,5620100,32992,hea
Zondane SP,580041001,Zondane,580041,Nongoma,580,KZN265,Zululand,556,DC26,KwaZulu-Natal,5,KZN,59206,5800133,35987,hea
Silanda SP,581005001,Silanda,581005,Ulundi,581,KZN266,Zululand,556,DC26,KwaZulu-Natal,5,KZN,59206,5810232,36258,hea
Okhukho B SP,581091001,Okhukho B,581091,Ulundi,581,KZN266,Zululand,556,DC26,KwaZulu-Natal,5,KZN,59206,5810209,36403,hea
Makane SP,583021001,Makane,583021,Jozini,583,KZN272,Umkhanyakude,527,DC27,KwaZulu-Natal,5,KZN,59206,5830252,36808,hea
Mjindi SP,583058001,Mjindi,583058,Jozini,583,KZN272,Umkhanyakude,527,DC27,KwaZulu-Natal,5,KZN,59206,5830026,36916,hea
Qomukuphila SP,584011001,Qomukuphila,584011,The Big 5 False Bay,584,KZN273,Umkhanyakude,527,DC27,KwaZulu-Natal,5,KZN,59206,5840033,37049,hea
Mabhokisini SP,585035001,Mabhokisini,585035,Hlabisa,585,KZN274,Umkhanyakude,527,DC27,KwaZulu-Natal,5,KZN,59206,5850028,37155,hea
Ematholeni SP,587010001,Ematholeni,587010,Mfolozi,587,KZN281,Uthungulu,528,DC28,KwaZulu-Natal,5,KZN,59206,5870052,37415,hea
Nomponjwana SP,588032001,Nomponjwana,588032,Ntambanana,588,KZN283,Uthungulu,528,DC28,KwaZulu-Natal,5,KZN,59206,5880060,37575,hea
Kwahlaza SP,588046001,Kwahlaza,588046,Ntambanana,588,KZN283,Uthungulu,528,DC28,KwaZulu-Natal,5,KZN,59206,5880001,37598,hea
Makhehle SP1,589006001,Makhehle,589006,uMlalazi,589,KZN284,Uthungulu,528,DC28,KwaZulu-Natal,5,KZN,59206,5890302,37646,hea
Doornhoek SP,514008001,Doornhoek,514008,Emnambithi/Ladysmith,514,KZN232,Uthukela,523,DC23,KwaZulu-Natal,5,KZN,59207,5140324,30506,hea
Mbanane SP,526018001,Mbanane,526018,Dannhauser,526,KZN254,Amajuba,555,DC25,KwaZulu-Natal,5,KZN,59207,5260128,31513,hea
Moltloung SP,526021001,Moltloung,526021,Dannhauser,526,KZN254,Amajuba,555,DC25,KwaZulu-Natal,5,KZN,59207,5260034,31522,hea
Anville SP,526037001,Anville,526037,Dannhauser,526,KZN254,Amajuba,555,DC25,KwaZulu-Natal,5,KZN,59207,5260141,31570,hea
Ezidulini SP,529025001,Ezidulini,529025,Abaqulusi,529,KZN263,Zululand,556,DC26,KwaZulu-Natal,5,KZN,59207,5290224,31835,hea
Wittekleifontein,569023003,Mabaso,569023,Indaka,569,KZN233,Uthukela,523,DC23,KwaZulu-Natal,5,KZN,59207,5690154,34463,hea
Ndatshana SP,575009001,Ndatshana,575009,Nqutu,575,KZN242,Umzinyathi,554,DC24,KwaZulu-Natal,5,KZN,59207,5750185,35074,hea
