DROP VIEW
CREATE VIEW
 ea_code  | province_name | district_name |  municipality_name   | main_place_name |    village_name    | village_code |                                 lz                                 | village_pop 
----------+---------------+---------------+----------------------+-----------------+--------------------+--------------+--------------------------------------------------------------------+-------------
 49910441 | Free State    | Mangaung      | Mangaung             | Bofulo          | Bofulo SP          |    499003001 | 59209: Free State open access cattle and crops (ZAOCC)             |         204
 49910425 | Free State    | Mangaung      | Mangaung             | Feloane Trust   | Feloane Trust SP   |    499021001 | 59209: Free State open access cattle and crops (ZAOCC)             |         453
 49910015 | Free State    | Mangaung      | Mangaung             | Gladstone       | Gladstone SP       |    499038001 | 59209: Free State open access cattle and crops (ZAOCC)             |         774
 49910016 | Free State    | Mangaung      | Mangaung             | Gladstone       | Gladstone SP       |    499038001 | 59209: Free State open access cattle and crops (ZAOCC)             |         774
 49910013 | Free State    | Mangaung      | Mangaung             | Rietfontein     | Rietfontein SP     |    499044001 | 59209: Free State open access cattle and crops (ZAOCC)             |         204
 49910009 | Free State    | Mangaung      | Mangaung             | Tweefontein     | Tweefontein SP     |    499039001 | 59209: Free State open access cattle and crops (ZAOCC)             |         249
 49910014 | Free State    | Mangaung      | Mangaung             | Yorksford       | Yorksford SP       |    499042001 | 59209: Free State open access cattle and crops (ZAOCC)             |         312
 52610081 | KwaZulu-Natal | Amajuba       | Dannhauser           | Annieville      | Annieville SP      |    526027001 | 59207: Northern inland open access farming and livestock (ZANFL)   |        6411
 52610085 | KwaZulu-Natal | Amajuba       | Dannhauser           | Annieville      | Annieville SP      |    526027001 | 59207: Northern inland open access farming and livestock (ZANFL)   |        6411
 52610089 | KwaZulu-Natal | Amajuba       | Dannhauser           | Annieville      | Annieville SP      |    526027001 | 59207: Northern inland open access farming and livestock (ZANFL)   |        6411
 52610090 | KwaZulu-Natal | Amajuba       | Dannhauser           | Annieville      | Annieville SP      |    526027001 | 59207: Northern inland open access farming and livestock (ZANFL)   |        6411
 52610095 | KwaZulu-Natal | Amajuba       | Dannhauser           | Annieville      | Annieville SP      |    526027001 | 59207: Northern inland open access farming and livestock (ZANFL)   |        6411
 52610097 | KwaZulu-Natal | Amajuba       | Dannhauser           | Annieville      | Annieville SP      |    526027001 | 59207: Northern inland open access farming and livestock (ZANFL)   |        6411
 52610100 | KwaZulu-Natal | Amajuba       | Dannhauser           | Annieville      | Annieville SP      |    526027001 | 59207: Northern inland open access farming and livestock (ZANFL)   |        6411
 52610101 | KwaZulu-Natal | Amajuba       | Dannhauser           | Annieville      | Annieville SP      |    526027001 | 59207: Northern inland open access farming and livestock (ZANFL)   |        6411
 52610058 | KwaZulu-Natal | Amajuba       | Dannhauser           | Skombaren       | Skombaren SP       |    526046001 | 59107: Inland open access livestock and other income (ZAOLO)       |        3675
 52610062 | KwaZulu-Natal | Amajuba       | Dannhauser           | Skombaren       | Skombaren SP       |    526046001 | 59107: Inland open access livestock and other income (ZAOLO)       |        3675
 52610066 | KwaZulu-Natal | Amajuba       | Dannhauser           | Skombaren       | Skombaren SP       |    526046001 | 59107: Inland open access livestock and other income (ZAOLO)       |        3675
 52610071 | KwaZulu-Natal | Amajuba       | Dannhauser           | Skombaren       | Skombaren SP       |    526046001 | 59107: Inland open access livestock and other income (ZAOLO)       |        3675
 52610072 | KwaZulu-Natal | Amajuba       | Dannhauser           | Skombaren       | Skombaren SP       |    526046001 | 59107: Inland open access livestock and other income (ZAOLO)       |        3675
 52610078 | KwaZulu-Natal | Amajuba       | Dannhauser           | Skombaren       | Skombaren SP       |    526046001 | 59107: Inland open access livestock and other income (ZAOLO)       |        3675
 52610087 | KwaZulu-Natal | Amajuba       | Dannhauser           | Skombaren       | Skombaren SP       |    526046001 | 59107: Inland open access livestock and other income (ZAOLO)       |        3675
 52510015 | KwaZulu-Natal | Amajuba       | Emadlangeni          | Emadlangeni NU  | Emadlangeni NU     |    525002001 | 59207: Northern inland open access farming and livestock (ZANFL)   |       25461
 52510019 | KwaZulu-Natal | Amajuba       | Emadlangeni          | Emadlangeni NU  | Emadlangeni NU     |    525002001 | 59207: Northern inland open access farming and livestock (ZANFL)   |       25461
 52510057 | KwaZulu-Natal | Amajuba       | Emadlangeni          | Emadlangeni NU  | Emadlangeni NU     |    525002001 | 59107: Inland open access livestock and other income (ZAOLO)       |       25461
 52410004 | KwaZulu-Natal | Amajuba       | Newcastle            | Alcockspruit    | Alcockspruit SP    |    524024001 | 59107: Inland open access livestock and other income (ZAOLO)       |        2667
 52410007 | KwaZulu-Natal | Amajuba       | Newcastle            | Alcockspruit    | Alcockspruit SP    |    524024001 | 59107: Inland open access livestock and other income (ZAOLO)       |        2667
 52410008 | KwaZulu-Natal | Amajuba       | Newcastle            | Alcockspruit    | Alcockspruit SP    |    524024001 | 59107: Inland open access livestock and other income (ZAOLO)       |        2667
 52410061 | KwaZulu-Natal | Amajuba       | Newcastle            | Cavan           | Cavan SP           |    524021001 | 59207: Northern inland open access farming and livestock (ZANFL)   |       13302
 52410062 | KwaZulu-Natal | Amajuba       | Newcastle            | Cavan           | Cavan SP           |    524021001 | 59207: Northern inland open access farming and livestock (ZANFL)   |       13302
 52410063 | KwaZulu-Natal | Amajuba       | Newcastle            | Cavan           | Cavan SP           |    524021001 | 59207: Northern inland open access farming and livestock (ZANFL)   |       13302
 52410064 | KwaZulu-Natal | Amajuba       | Newcastle            | Cavan           | Cavan SP           |    524021001 | 59207: Northern inland open access farming and livestock (ZANFL)   |       13302
 52410065 | KwaZulu-Natal | Amajuba       | Newcastle            | Cavan           | Cavan SP           |    524021001 | 59207: Northern inland open access farming and livestock (ZANFL)   |       13302
 52410066 | KwaZulu-Natal | Amajuba       | Newcastle            | Cavan           | Cavan SP           |    524021001 | 59207: Northern inland open access farming and livestock (ZANFL)   |       13302
 52410067 | KwaZulu-Natal | Amajuba       | Newcastle            | Cavan           | Cavan SP           |    524021001 | 59207: Northern inland open access farming and livestock (ZANFL)   |       13302
 52410068 | KwaZulu-Natal | Amajuba       | Newcastle            | Cavan           | Cavan SP           |    524021001 | 59207: Northern inland open access farming and livestock (ZANFL)   |       13302
 52410069 | KwaZulu-Natal | Amajuba       | Newcastle            | Cavan           | Cavan SP           |    524021001 | 59207: Northern inland open access farming and livestock (ZANFL)   |       13302
 52410101 | KwaZulu-Natal | Amajuba       | Newcastle            | Cavan           | Cavan SP           |    524021001 | 59207: Northern inland open access farming and livestock (ZANFL)   |       13302
 52410102 | KwaZulu-Natal | Amajuba       | Newcastle            | Cavan           | Cavan SP           |    524021001 | 59207: Northern inland open access farming and livestock (ZANFL)   |       13302
 52410103 | KwaZulu-Natal | Amajuba       | Newcastle            | Cavan           | Cavan SP           |    524021001 | 59207: Northern inland open access farming and livestock (ZANFL)   |       13302
 52410104 | KwaZulu-Natal | Amajuba       | Newcastle            | Cavan           | Cavan SP           |    524021001 | 59207: Northern inland open access farming and livestock (ZANFL)   |       13302
 52410105 | KwaZulu-Natal | Amajuba       | Newcastle            | Cavan           | Cavan SP           |    524021001 | 59207: Northern inland open access farming and livestock (ZANFL)   |       13302
 52410106 | KwaZulu-Natal | Amajuba       | Newcastle            | Cavan           | Cavan SP           |    524021001 | 59207: Northern inland open access farming and livestock (ZANFL)   |       13302
 52410109 | KwaZulu-Natal | Amajuba       | Newcastle            | Cavan           | Cavan SP           |    524021001 | 59207: Northern inland open access farming and livestock (ZANFL)   |       13302
